idx,miou,dice,pixel_acc
3398,0.8105,0.8903,0.9307
3399,0.8237,0.8957,0.9319
3400,0.8106,0.8842,0.9421
3401,0.815,0.8917,0.9323
3402,0.5912,0.7213,0.8511
3403,0.7897,0.8749,0.912
3404,0.8392,0.9066,0.9411
3405,0.7614,0.8535,0.9213
3406,0.7794,0.8672,0.9208
3407,0.7596,0.8453,0.9373
3408,0.7711,0.863,0.9448
3409,0.8146,0.8852,0.9465
3410,0.7596,0.8568,0.8898
3411,0.7974,0.8774,0.9631
3412,0.8595,0.9202,0.9589
3413,0.7304,0.8423,0.8612
3414,0.8228,0.8967,0.947
3415,0.7123,0.8167,0.9669
3416,0.7248,0.8251,0.9156
3417,0.7808,0.868,0.9333
3418,0.4561,0.5992,0.6995
3419,0.6897,0.7936,0.9327
